no;block;trial;arrow_direct;cond;correct;rt;id
20000;1;2;2;0;1;0.55267;29
20003;1;5;1;0;1;0.44386;29
20008;1;10;1;0;1;0.38115;29
20010;1;12;1;0;1;0.35974;29
20011;1;13;1;0;1;0.41228;29
20015;1;17;2;0;1;0.37873;29
20017;1;19;1;0;1;0.39441;29
20018;1;20;2;0;1;0.38885;29
20021;1;23;2;0;1;0.40008;29
20024;1;26;1;0;1;0.74077;29
20026;1;28;2;0;1;0.48543;29
20027;1;29;1;0;1;0.47612;29
20035;1;37;2;0;1;0.41908;29
20039;1;41;1;0;1;0.37059;29
20044;1;46;2;0;1;0.39753;29
20051;1;53;1;0;1;0.37333;29
20053;1;55;2;0;1;0.39848;29
20057;1;59;2;0;1;0.46345;29
20058;1;60;1;0;1;0.60095;29
20059;1;61;1;0;1;0.39992;29
20063;1;65;2;0;1;0.32698;29
20067;1;69;2;0;1;0.39932;29
20073;1;75;2;0;1;0.43128;29
20075;1;77;2;0;1;0.44913;29
20077;1;79;1;0;1;0.33781;29
20719;1;2;1;0;1;0.76466;30
20720;1;3;2;0;1;0.65578;30
20724;1;7;2;0;1;0.49177;30
20725;1;8;2;0;1;0.4501;30
20726;1;9;1;0;1;0.46309;30
20730;1;13;2;0;1;0.42781;30
20735;1;18;2;0;1;0.36354;30
20736;1;19;2;0;1;0.35892;30
20744;1;27;2;0;1;0.44957;30
20746;1;29;1;0;1;0.5258;30
20748;1;31;1;0;1;0.44723;30
20750;1;33;1;0;1;0.4104;30
20752;1;35;1;0;1;0.44221;30
20755;1;38;2;0;1;0.36976;30
20756;1;39;1;0;1;0.54929;30
20759;1;42;1;0;1;0.45432;30
20763;1;46;1;0;1;0.43447;30
20769;1;52;2;0;1;0.49655;30
20771;1;54;2;0;1;0.36625;30
20774;1;57;1;0;1;0.43892;30
20775;1;58;2;0;1;0.53117;30
20776;1;59;2;0;1;0.43342;30
20777;1;60;1;0;1;0.45473;30
20786;1;69;1;0;1;0.47629;30
20789;1;72;2;0;1;0.45478;30
21438;1;1;1;0;1;0.56236;31
21441;1;4;1;0;1;0.41986;31
21443;1;6;2;0;0;0.33746;31
21450;1;13;1;0;1;0.32359;31
21460;1;23;1;0;1;0.3437;31
21461;1;24;1;0;1;0.31407;31
21463;1;26;2;0;1;0.43628;31
21467;1;30;2;0;0;0.33929;31
21469;1;32;1;0;1;0.32793;31
21479;1;42;2;0;1;0.42615;31
21480;1;43;1;0;1;0.3901;31
21481;1;44;2;0;1;0.44167;31
21482;1;45;2;0;1;0.37436;31
21483;1;46;2;0;1;0.37772;31
21485;1;48;1;0;1;0.29557;31
21488;1;51;2;0;1;0.45378;31
21496;1;59;1;0;1;0.40773;31
21497;1;60;2;0;1;0.39567;31
21500;1;63;2;0;0;0.35088;31
21502;1;65;2;0;1;0.3921;31
21503;1;66;2;0;1;0.41986;31
21506;1;69;2;0;1;0.38181;31
21510;1;73;2;0;1;0.34398;31
21515;1;78;2;0;1;0.43244;31
21519;1;82;1;0;1;0.38507;31
22162;1;6;1;0;1;0.37;32
22165;1;9;2;0;1;0.40373;32
22172;1;16;2;0;1;0.38261;32
22173;1;17;1;0;1;0.34467;32
22174;1;18;1;0;1;0.38569;32
22175;1;19;1;0;1;0.31002;32
22178;1;22;2;0;1;0.37346;32
22181;1;25;1;0;1;0.54246;32
22182;1;26;2;0;0;0.33447;32
22183;1;27;1;0;1;0.38328;32
22184;1;28;2;0;1;0.37259;32
22186;1;30;2;0;1;0.40189;32
22188;1;32;1;0;1;0.33817;32
22192;1;36;1;0;1;0.29816;32
22194;1;38;2;0;1;0.45351;32
22198;1;42;2;0;1;0.40761;32
22202;1;46;2;0;1;0.46566;32
22203;1;47;1;0;1;0.34242;32
22204;1;48;2;0;1;0.37665;32
22212;1;56;1;0;1;0.40982;32
22213;1;57;2;0;1;0.66165;32
22215;1;59;1;0;1;0.37825;32
22218;1;62;2;0;1;0.27387;32
22220;1;64;1;0;1;0.32065;32
22221;1;65;1;0;1;0.28174;32
22883;1;8;1;0;1;0.38354;33
22885;1;10;1;0;1;0.58349;33
22886;1;11;2;0;1;0.45018;33
22890;1;15;2;0;1;0.43348;33
22894;1;19;1;0;1;0.40019;33
22899;1;24;1;0;1;0.50019;33
22900;1;25;1;0;1;0.48351;33
22904;1;29;2;0;1;0.4002;33
22906;1;31;2;0;1;0.38351;33
22907;1;32;1;0;1;0.38352;33
22916;1;41;2;0;1;0.38352;33
22922;1;47;2;0;1;0.40002;33
22923;1;48;2;0;1;0.36683;33
22924;1;49;1;0;1;0.48353;33
22926;1;51;2;0;1;0.45018;33
22927;1;52;1;0;1;0.58354;33
22928;1;53;2;0;1;0.45014;33
22932;1;57;2;0;1;0.41688;33
22934;1;59;1;0;1;0.46684;33
22935;1;60;1;0;1;0.43347;33
22938;1;63;2;0;1;0.46666;33
22939;1;64;2;0;1;0.43333;33
22943;1;68;1;0;1;0.53349;33
22945;1;70;1;0;1;0.5668;33
22953;1;78;1;0;1;0.43351;33
23596;1;3;2;0;1;0.78348;34
23600;1;7;1;0;1;0.43351;34
23604;1;11;1;0;1;0.65016;34
23614;1;21;1;0;1;0.38352;34
23618;1;25;1;0;1;0.41681;34
23619;1;26;2;0;1;0.40017;34
23621;1;28;2;0;1;0.48352;34
23631;1;39;2;0;1;1.3001;34
23632;1;40;2;0;1;0.5669;34
23633;1;41;2;0;1;0.55016;34
23636;1;44;2;0;1;0.50023;34
23638;1;46;1;0;1;0.55018;34
23649;1;57;2;0;1;0.45021;34
23655;1;63;2;0;0;0.40016;34
23656;1;64;1;0;1;0.3669;34
23659;1;67;1;0;1;0.45019;34
23662;1;70;1;0;0;0.31685;34
23664;1;72;2;0;1;0.41679;34
23666;1;74;1;0;1;0.46677;34
23671;1;79;1;0;1;0.43351;34
23675;1;83;2;0;1;0.86682;34
23677;1;85;1;0;1;0.55024;34
23678;1;86;2;0;1;0.45021;34
23679;1;87;1;0;1;0.45019;34
23680;1;88;2;0;1;0.4335;34
24317;1;6;1;0;1;1.6834;35
24318;1;7;2;0;1;0.61682;35
24319;1;8;1;0;1;0.68349;35
24325;1;14;2;0;1;0.4835;35
24327;1;16;2;0;1;0.45017;35
24328;1;17;1;0;1;0.41684;35
24336;1;25;2;0;1;0.45013;35
24337;1;26;1;0;1;0.53355;35
24343;1;32;2;0;1;0.40019;35
24347;1;36;2;0;1;0.35015;35
24352;1;41;2;0;1;0.46683;35
24354;1;43;1;0;1;0.43351;35
24358;1;47;1;0;1;0.41682;35
24365;1;54;1;0;1;0.36684;35
24366;1;55;1;0;1;0.36685;35
24371;1;60;1;0;1;0.38351;35
24372;1;61;1;0;1;0.41683;35
24374;1;63;1;0;1;0.4835;35
24375;1;64;1;0;1;0.46684;35
24377;1;66;2;0;1;0.43351;35
24380;1;69;2;0;1;0.44994;35
24383;1;72;2;0;1;0.51682;35
24390;1;79;2;0;1;0.36681;35
24391;1;80;1;0;1;0.38346;35
24392;1;81;1;0;1;0.51679;35
25032;1;1;1;0;1;0.7002;36
25034;1;3;1;0;1;0.46687;36
25039;1;8;1;0;1;0.43345;36
25041;1;10;1;0;1;0.40022;36
25046;1;15;2;0;1;0.33362;36
25049;1;18;2;0;1;0.36688;36
25053;1;22;2;0;1;0.31676;36
25056;1;25;1;0;1;0.33356;36
25057;1;26;1;0;1;0.40012;36
25058;1;27;2;0;1;0.3502;36
25059;1;28;1;0;1;0.31685;36
25062;1;31;2;0;1;0.40027;36
25065;1;34;2;0;1;0.28358;36
25069;1;38;1;0;1;0.36679;36
25070;1;39;1;0;1;0.51684;36
25073;1;42;2;0;1;0.38351;36
25076;1;45;2;0;1;0.31689;36
25077;1;46;2;0;1;0.41686;36
25078;1;47;1;0;1;0.28339;36
25080;1;49;1;0;1;0.36684;36
25081;1;50;2;0;1;0.3169;36
25083;1;52;2;0;1;0.31678;36
25084;1;53;1;0;1;0.33346;36
25096;1;65;1;0;1;0.33357;36
25099;1;68;2;0;1;0.40005;36
25753;1;2;1;0;1;0.60016;37
25758;1;7;1;0;1;0.56668;37
25759;1;8;1;0;1;0.4501;37
25763;1;12;2;0;1;0.58344;37
25767;1;16;1;0;1;0.43345;37
25772;1;21;2;0;1;0.56686;37
25779;1;28;1;0;1;0.31676;37
25780;1;29;1;0;1;0.43343;37
25782;1;31;1;0;1;0.43344;37
25783;1;32;2;0;1;0.40023;37
25784;1;33;2;0;1;0.46679;37
25786;1;35;1;0;1;0.48356;37
25787;1;36;2;0;1;0.58347;37
25789;1;38;2;0;1;0.41677;37
25794;1;43;2;0;1;0.88343;37
25796;1;45;1;0;1;0.53343;37
25798;1;47;2;0;1;0.45021;37
25800;1;49;2;0;1;0.48356;37
25801;1;50;1;0;1;0.45011;37
25802;1;51;2;0;1;0.48341;37
25805;1;54;1;0;1;0.43349;37
25807;1;56;2;0;1;0.53353;37
25808;1;57;1;0;1;0.46676;37
25812;1;61;1;0;1;0.33358;37
25814;1;63;2;0;1;0.5169;37
26472;1;1;1;0;1;0.91682;38
26473;1;2;1;0;1;0.51689;38
26475;1;4;1;0;1;0.51689;38
26478;1;7;2;0;1;0.45015;38
26480;1;9;2;0;1;0.30018;38
26482;1;11;1;0;1;0.41684;38
26485;1;14;1;0;1;0.38352;38
26486;1;15;2;0;1;0.35016;38
26492;1;21;2;0;1;0.40021;38
26494;1;23;2;0;1;0.35011;38
26499;1;28;2;0;1;0.38352;38
26500;1;29;2;0;1;0.33334;38
26505;1;34;1;0;1;0.33344;38
26509;1;38;2;0;1;0.36683;38
26512;1;41;2;0;1;0.38344;38
26515;1;44;2;0;1;0.36683;38
26517;1;46;2;0;1;0.36684;38
26521;1;50;2;0;1;0.36684;38
26523;1;52;1;0;1;0.38343;38
26530;1;59;1;0;0;0.31684;38
26532;1;61;1;0;1;0.3668;38
26537;1;66;1;0;1;0.36675;38
26538;1;67;1;0;1;0.35015;38
26546;1;75;1;0;1;0.36666;38
26549;1;78;2;0;1;0.39991;38
27190;1;2;2;0;1;0.44708;39
27193;1;5;1;0;1;0.40207;39
27200;1;12;2;0;1;0.33643;39
27201;1;13;2;0;0;0.24932;39
27204;1;16;2;0;1;0.36471;39
27206;1;18;2;0;0;0.34831;39
27207;1;19;2;0;1;0.32628;39
27213;1;25;1;0;1;0.39724;39
27215;1;27;2;0;1;0.32666;39
27216;1;28;1;0;1;0.3123;39
27218;1;30;1;0;1;0.42796;39
27220;1;32;1;0;1;0.33432;39
27230;1;42;2;0;1;0.37937;39
27233;1;45;2;0;1;0.36583;39
27235;1;47;2;0;1;0.31683;39
27236;1;48;2;0;1;0.4054;39
27241;1;53;2;0;1;0.39349;39
27242;1;54;1;0;1;0.31749;39
27243;1;55;2;0;1;0.40142;39
27246;1;58;2;0;0;0.24366;39
27247;1;59;1;0;1;0.40299;39
27249;1;61;1;0;1;0.44959;39
27250;1;62;1;0;1;0.39179;39
27258;1;70;1;0;1;0.38669;39
27261;1;73;1;0;1;0.69662;39
27922;1;15;1;0;1;0.58532;40
27935;1;28;2;0;0;0.31874;40
27939;1;32;2;0;1;0.49616;40
27942;1;35;2;0;1;0.44963;40
27943;1;36;1;0;1;0.42919;40
27946;1;39;1;0;1;0.44888;40
27948;1;41;2;0;1;0.46253;40
27950;1;43;2;0;1;0.54031;40
27952;1;45;1;0;1;0.48776;40
27953;1;46;2;0;1;0.37923;40
27955;1;48;2;0;1;0.46556;40
27956;1;49;2;0;1;0.52556;40
27957;1;50;1;0;1;0.46246;40
27958;1;51;1;0;1;0.41038;40
27959;1;52;1;0;1;0.44963;40
27961;1;54;1;0;1;0.46533;40
27962;1;55;1;0;1;0.43873;40
27967;1;60;1;0;1;0.41935;40
27968;1;61;2;0;1;0.41597;40
27973;1;66;2;0;1;0.55288;40
27975;1;68;2;0;1;0.67314;40
27979;1;72;2;0;1;0.55334;40
27981;1;74;2;0;1;0.48853;40
27986;1;79;2;0;1;0.34418;40
27991;1;84;1;0;1;0.81109;40
28628;1;1;1;0;1;1.1814;41
28631;1;4;2;0;1;0.43028;41
28635;1;8;2;0;1;0.42226;41
28639;1;12;1;0;1;0.42012;41
28640;1;13;2;0;1;0.40033;41
28641;1;14;1;0;1;0.44399;41
28643;1;16;2;0;1;0.34088;41
28654;1;27;1;0;1;0.69097;41
28655;1;28;1;0;1;0.41291;41
28656;1;29;1;0;1;0.40086;41
28657;1;30;2;0;1;0.41144;41
28658;1;31;2;0;1;0.38407;41
28659;1;32;1;0;1;0.45243;41
28663;1;36;1;0;1;0.42051;41
28664;1;37;2;0;1;0.42423;41
28666;1;39;1;0;1;0.35153;41
28674;1;47;2;0;1;0.46604;41
28678;1;51;1;0;1;0.38188;41
28679;1;52;2;0;1;0.40917;41
28680;1;53;2;0;1;0.36654;41
28683;1;56;1;0;1;0.37652;41
28684;1;57;2;0;1;0.42931;41
28686;1;59;2;0;1;0.38077;41
28687;1;60;1;0;1;0.40761;41
28690;1;63;2;0;1;0.35423;41
29350;1;3;1;0;1;0.79824;42
29352;1;5;2;0;1;0.67737;42
29354;1;7;1;0;1;0.73587;42
29358;1;11;2;0;1;0.61128;42
29360;1;13;2;0;1;0.55529;42
29362;1;15;1;0;1;0.58204;42
29366;1;19;1;0;1;0.51141;42
29368;1;21;1;0;1;1.0843;42
29371;1;24;2;0;1;0.39587;42
29376;1;29;1;0;1;0.42949;42
29377;1;30;2;0;1;0.48279;42
29390;1;43;1;0;1;0.44769;42
29395;1;48;2;0;1;0.35948;42
29396;1;49;1;0;1;0.38662;42
29397;1;50;2;0;1;0.41344;42
29398;1;51;2;0;1;0.38507;42
29411;1;64;1;0;1;0.43541;42
29412;1;65;2;0;1;0.39772;42
29415;1;68;2;0;1;0.45815;42
29416;1;69;1;0;1;0.45606;42
29417;1;70;1;0;1;0.5006;42
29418;1;71;2;0;1;0.37116;42
29421;1;74;1;0;1;0.6124;42
29422;1;75;2;0;1;0.41523;42
29427;1;80;1;0;1;0.40667;42
30072;1;5;1;0;1;0.33229;43
30073;1;6;2;0;0;0.30263;43
30076;1;9;1;0;1;0.40703;43
30080;1;13;2;0;1;0.37801;43
30083;1;16;2;0;1;0.29937;43
30084;1;17;2;0;1;0.30034;43
30086;1;19;2;0;1;0.35287;43
30088;1;21;2;0;1;0.30306;43
30092;1;25;2;0;1;0.3679;43
30094;1;27;1;0;0;0.50409;43
30095;1;28;1;0;1;0.42967;43
30099;1;32;1;0;1;0.47497;43
30100;1;33;2;0;1;0.32787;43
30102;1;35;1;0;1;0.4118;43
30111;1;44;2;0;1;0.43434;43
30114;1;47;1;0;1;0.26602;43
30117;1;50;1;0;1;0.29557;43
30120;1;53;2;0;1;0.31419;43
30122;1;55;2;0;0;0.29351;43
30126;1;59;1;0;1;0.38157;43
30128;1;61;2;0;1;0.39515;43
30129;1;62;1;0;1;0.35952;43
30133;1;66;2;0;1;0.49024;43
30137;1;70;2;0;1;0.38876;43
30139;1;72;1;0;1;0.34036;43
30786;1;1;1;0;1;1.268;44
30789;1;5;1;0;1;0.48422;44
30791;1;7;2;0;1;0.45378;44
30794;1;10;1;0;1;0.44333;44
30796;1;12;1;0;1;0.47105;44
30798;1;14;1;0;1;0.40185;44
30800;1;16;2;0;1;0.49126;44
30805;1;21;2;0;0;0.34169;44
30808;1;24;1;0;1;0.56189;44
30809;1;25;1;0;1;0.52077;44
30813;1;29;2;0;1;0.4172;44
30814;1;30;2;0;1;0.36628;44
30817;1;33;1;0;1;0.37639;44
30822;1;38;1;0;1;0.3324;44
30827;1;43;2;0;1;0.45682;44
30833;1;49;1;0;1;0.44704;44
30835;1;51;1;0;1;0.53581;44
30840;1;56;2;0;1;0.45945;44
30841;1;57;2;0;1;0.40949;44
30842;1;58;2;0;1;0.33375;44
30848;1;64;1;0;1;0.32807;44
30851;1;67;2;0;1;0.42065;44
30852;1;68;2;0;1;0.40719;44
30853;1;69;2;0;1;0.39705;44
30854;1;70;2;0;1;0.47172;44
31507;1;4;2;0;1;0.81868;45
31511;1;8;2;0;1;0.66826;45
31512;1;9;2;0;1;0.55074;45
31517;1;14;2;0;1;0.45873;45
31527;1;24;2;0;1;0.48881;45
31531;1;28;1;0;1;0.41276;45
31545;1;43;2;0;1;0.54189;45
31550;1;48;1;0;1;0.43845;45
31551;1;49;2;0;1;0.48454;45
31553;1;51;2;0;1;0.57551;45
31554;1;52;1;0;1;0.44948;45
31557;1;55;1;0;1;0.44123;45
31558;1;56;2;0;1;0.61425;45
31559;1;57;2;0;1;0.43114;45
31562;1;60;2;0;1;0.50574;45
31566;1;64;1;0;1;0.48557;45
31567;1;65;2;0;1;0.45201;45
31571;1;69;2;0;1;0.45119;45
31572;1;70;1;0;1;0.62562;45
31577;1;75;1;0;1;0.90987;45
31578;1;76;2;0;1;0.46263;45
31586;1;84;1;0;1;0.50664;45
31587;1;85;1;0;1;0.46498;45
31588;1;86;2;0;1;0.41507;45
31592;1;90;1;0;1;0.55674;45
32221;1;1;1;0;1;0.57898;46
32226;1;6;2;0;0;0.32223;46
32230;1;10;1;0;1;0.5282;46
32231;1;11;1;0;1;0.35033;46
32236;1;16;1;0;1;0.37422;46
32242;1;22;2;0;1;0.51115;46
32246;1;26;2;0;1;0.36876;46
32247;1;27;2;0;1;0.37119;46
32251;1;31;1;0;1;0.38476;46
32252;1;32;2;0;1;0.4208;46
32255;1;35;1;0;1;0.3604;46
32264;1;44;1;0;1;0.35237;46
32265;1;45;2;0;1;0.37919;46
32269;1;49;2;0;0;0.3614;46
32272;1;52;2;0;1;0.39564;46
32274;1;54;1;0;1;0.3716;46
32275;1;55;1;0;1;0.35737;46
32277;1;57;1;0;1;0.4772;46
32290;1;70;1;0;1;0.35301;46
32291;1;71;2;0;0;0.33921;46
32293;1;73;1;0;1;0.46269;46
32294;1;74;2;0;1;0.32337;46
32296;1;76;1;0;1;0.37008;46
32297;1;77;1;0;1;0.42841;46
32298;1;78;1;0;0;0.34553;46
32941;1;1;1;0;1;1.6339;47
32944;1;4;2;0;1;0.43757;47
32948;1;8;2;0;1;0.41583;47
32949;1;9;1;0;0;0.54012;47
32950;1;10;1;0;1;0.71746;47
32952;1;12;1;0;1;0.49577;47
32954;1;14;1;0;1;0.47496;47
32955;1;15;1;0;1;0.47299;47
32957;1;17;2;0;1;0.40521;47
32959;1;19;2;0;1;0.60941;47
32965;1;25;1;0;1;0.58983;47
32976;1;36;2;0;1;0.43616;47
32978;1;38;2;0;1;0.46038;47
32980;1;40;2;0;1;0.4726;47
32982;1;42;2;0;1;0.42678;47
32985;1;45;2;0;1;0.38406;47
32988;1;48;2;0;1;0.37636;47
32989;1;49;2;0;1;0.37185;47
32991;1;51;1;0;1;0.49874;47
32998;1;58;2;0;1;0.42389;47
33008;1;68;2;0;1;0.31876;47
33011;1;71;1;0;1;0.30239;47
33012;1;72;1;0;1;0.34489;47
33013;1;73;2;0;1;0.37034;47
33015;1;75;2;0;1;0.42012;47
